exoplanet_id,name,woeid,foundry
0,Earth,1,http://developer.yahoo.com/geo/geoplanet/
11 Com b,11 Com b,34818498,http://www.missionintegers.com/
11 UMi b,11 UMi b,34818500,http://www.missionintegers.com/
16 Cyg B b,16 Cyg B b,34818502,http://www.missionintegers.com/
18 Del b,18 Del b,34818504,http://www.missionintegers.com/
24 Sex b,24 Sex b,34818506,http://www.missionintegers.com/
2M 044144 b,2M 044144 b,34818508,http://www.missionintegers.com/
2M 2140+16 b,2M 2140+16 b,34818510,http://www.missionintegers.com/
30 Ari B b,30 Ari B b,34818512,http://www.missionintegers.com/
47 Uma b,47 Uma b,34818514,http://www.missionintegers.com/
55 Cnc e,55 Cnc e,34818516,http://www.missionintegers.com/
55 Cnc f,55 Cnc f,34818518,http://www.missionintegers.com/
6 Lyn b,6 Lyn b,34818520,http://www.missionintegers.com/
91 Aqr b,91 Aqr b,34818522,http://www.missionintegers.com/
AB Pic b,AB Pic b,34818524,http://www.missionintegers.com/
BD-082823 b,BD-082823 b,34818526,http://www.missionintegers.com/
BD-10 3166 b,BD-10 3166 b,34818528,http://www.missionintegers.com/
BD-17 63 b,BD-17 63 b,34818530,http://www.missionintegers.com/
BD14 4559 b,BD14 4559 b,34818532,http://www.missionintegers.com/
BD20 2457 b,BD20 2457 b,34818534,http://www.missionintegers.com/
beta Pic b,beta Pic b,34818536,http://www.missionintegers.com/
CoRoT-11 b,CoRoT-11 b,34818538,http://www.missionintegers.com/
CoRoT-12 b,CoRoT-12 b,34818540,http://www.missionintegers.com/
CoRoT-16 b,CoRoT-16 b,34818542,http://www.missionintegers.com/
CoRoT-23 b,CoRoT-23 b,34818544,http://www.missionintegers.com/
CoRoT-4 b,CoRoT-4 b,34818546,http://www.missionintegers.com/
CoRoT-7 b,CoRoT-7 b,34818548,http://www.missionintegers.com/
CT Cha b,CT Cha b,34818550,http://www.missionintegers.com/
DP Leo b,DP Leo b,34818552,http://www.missionintegers.com/
gamma 1 Leo b,gamma 1 Leo b,34818554,http://www.missionintegers.com/
gamma Cephei b,gamma Cephei b,34818556,http://www.missionintegers.com/
Gliese 176 b,Gliese 176 b,34818558,http://www.missionintegers.com/
Gliese 3021 b,Gliese 3021 b,34818560,http://www.missionintegers.com/
Gliese 3470 b,Gliese 3470 b,34818562,http://www.missionintegers.com/
Gliese 433 b,Gliese 433 b,34818564,http://www.missionintegers.com/
Gliese 436 b,Gliese 436 b,34818566,http://www.missionintegers.com/
Gliese 581 b,Gliese 581 b,34818568,http://www.missionintegers.com/
Gliese 581 c,Gliese 581 c,34818570,http://www.missionintegers.com/
Gliese 667C b,Gliese 667C b,34818572,http://www.missionintegers.com/
Gliese 832 b,Gliese 832 b,34818574,http://www.missionintegers.com/
Gliese 876 b,Gliese 876 b,34818576,http://www.missionintegers.com/
Gliese 876 d,Gliese 876 d,34818578,http://www.missionintegers.com/
Gliese 876 e,Gliese 876 e,34818580,http://www.missionintegers.com/
HAT-P-1 b,HAT-P-1 b,34818582,http://www.missionintegers.com/
HAT-P-11 b,HAT-P-11 b,34818584,http://www.missionintegers.com/
HAT-P-15 b,HAT-P-15 b,34818586,http://www.missionintegers.com/
HAT-P-18 b,HAT-P-18 b,34818588,http://www.missionintegers.com/
HAT-P-25 b,HAT-P-25 b,34818590,http://www.missionintegers.com/
HAT-P-29 b,HAT-P-29 b,34818592,http://www.missionintegers.com/
HAT-P-36 b,HAT-P-36 b,34818594,http://www.missionintegers.com/
HAT-P-37 b,HAT-P-37 b,34818596,http://www.missionintegers.com/
HAT-P-40 b,HAT-P-40 b,34818598,http://www.missionintegers.com/
HATS-1 b,HATS-1 b,34818600,http://www.missionintegers.com/
HD 10180 c,HD 10180 c,34818602,http://www.missionintegers.com/
HD 10180 e,HD 10180 e,34818604,http://www.missionintegers.com/
HD 10180 f,HD 10180 f,34818606,http://www.missionintegers.com/
HD 10180 g,HD 10180 g,34818608,http://www.missionintegers.com/
HD 104985 b,HD 104985 b,34818610,http://www.missionintegers.com/
HD 106515A b,HD 106515A b,34818612,http://www.missionintegers.com/
HD 108863 b,HD 108863 b,34818614,http://www.missionintegers.com/
HD 110014 b,HD 110014 b,34818616,http://www.missionintegers.com/
HD 113538 b,HD 113538 b,34818618,http://www.missionintegers.com/
HD 114386 c,HD 114386 c,34818620,http://www.missionintegers.com/
HD 114729 b,HD 114729 b,34818622,http://www.missionintegers.com/
HD 11506 b,HD 11506 b,34818624,http://www.missionintegers.com/
HD 117618 b,HD 117618 b,34818626,http://www.missionintegers.com/
HD 118203 b,HD 118203 b,34818628,http://www.missionintegers.com/
HD 11964 c,HD 11964 c,34818630,http://www.missionintegers.com/
HD 122430 b,HD 122430 b,34818632,http://www.missionintegers.com/
HD 125612 b,HD 125612 b,34818634,http://www.missionintegers.com/
HD 125612 d,HD 125612 d,34818636,http://www.missionintegers.com/
HD 126525 b,HD 126525 b,34818638,http://www.missionintegers.com/
HD 128311 b,HD 128311 b,34818640,http://www.missionintegers.com/
HD 130322 b,HD 130322 b,34818642,http://www.missionintegers.com/
HD 13189 b,HD 13189 b,34818644,http://www.missionintegers.com/
HD 132406 b,HD 132406 b,34818646,http://www.missionintegers.com/
HD 134060 c,HD 134060 c,34818648,http://www.missionintegers.com/
HD 134606 b,HD 134606 b,34818650,http://www.missionintegers.com/
HD 134606 c,HD 134606 c,34818652,http://www.missionintegers.com/
HD 134606 d,HD 134606 d,34818654,http://www.missionintegers.com/
HD 134987 c,HD 134987 c,34818656,http://www.missionintegers.com/
HD 136352 d,HD 136352 d,34818658,http://www.missionintegers.com/
HD 137388 b,HD 137388 b,34818660,http://www.missionintegers.com/
HD 142022 A b,HD 142022 A b,34818662,http://www.missionintegers.com/
HD 142245 b,HD 142245 b,34818664,http://www.missionintegers.com/
HD 142415 b,HD 142415 b,34818666,http://www.missionintegers.com/
HD 149143 b,HD 149143 b,34818668,http://www.missionintegers.com/
HD 1502 b,HD 1502 b,34818670,http://www.missionintegers.com/
HD 150433 b,HD 150433 b,34818672,http://www.missionintegers.com/
HD 150706 b,HD 150706 b,34818674,http://www.missionintegers.com/
HD 152079 b,HD 152079 b,34818676,http://www.missionintegers.com/
HD 152581 b,HD 152581 b,34818678,http://www.missionintegers.com/
HD 153950 b,HD 153950 b,34818680,http://www.missionintegers.com/
HD 154088 b,HD 154088 b,34818682,http://www.missionintegers.com/
HD 154857 b,HD 154857 b,34818684,http://www.missionintegers.com/
HD 155358 c,HD 155358 c,34818686,http://www.missionintegers.com/
HD 156279 b,HD 156279 b,34818688,http://www.missionintegers.com/
HD 157172 b,HD 157172 b,34818690,http://www.missionintegers.com/
HD 159868 b,HD 159868 b,34818692,http://www.missionintegers.com/
HD 159868 c,HD 159868 c,34818694,http://www.missionintegers.com/
HD 16175 b,HD 16175 b,34818696,http://www.missionintegers.com/
HD 162020 b,HD 162020 b,34818698,http://www.missionintegers.com/
HD 16417 b,HD 16417 b,34818700,http://www.missionintegers.com/
HD 164922 b,HD 164922 b,34818702,http://www.missionintegers.com/
HD 166724 b,HD 166724 b,34818704,http://www.missionintegers.com/
HD 168443 b,HD 168443 b,34818706,http://www.missionintegers.com/
HD 17092 b,HD 17092 b,34818708,http://www.missionintegers.com/
HD 171028 b,HD 171028 b,34818710,http://www.missionintegers.com/
HD 175541 b,HD 175541 b,34818712,http://www.missionintegers.com/
HD 177830 c,HD 177830 c,34818714,http://www.missionintegers.com/
HD 180314 b,HD 180314 b,34818716,http://www.missionintegers.com/
HD 181342 b,HD 181342 b,34818718,http://www.missionintegers.com/
HD 181433 b,HD 181433 b,34818720,http://www.missionintegers.com/
HD 181433 d,HD 181433 d,34818722,http://www.missionintegers.com/
HD 187085 b,HD 187085 b,34818724,http://www.missionintegers.com/
HD 18742 b,HD 18742 b,34818726,http://www.missionintegers.com/
HD 189733 b,HD 189733 b,34818728,http://www.missionintegers.com/
HD 190360 c,HD 190360 c,34818730,http://www.missionintegers.com/
HD 190647 b,HD 190647 b,34818732,http://www.missionintegers.com/
HD 192263 b,HD 192263 b,34818734,http://www.missionintegers.com/
HD 195019 b,HD 195019 b,34818736,http://www.missionintegers.com/
HD 196885 A b,HD 196885 A b,34818738,http://www.missionintegers.com/
HD 200964 b,HD 200964 b,34818740,http://www.missionintegers.com/
HD 200964 c,HD 200964 c,34818742,http://www.missionintegers.com/
HD 20367 b,HD 20367 b,34818744,http://www.missionintegers.com/
HD 2039 b,HD 2039 b,34818746,http://www.missionintegers.com/
HD 204313 b,HD 204313 b,34818748,http://www.missionintegers.com/
HD 20782 b,HD 20782 b,34818750,http://www.missionintegers.com/
HD 207832 b,HD 207832 b,34818752,http://www.missionintegers.com/
HD 20794 b,HD 20794 b,34818754,http://www.missionintegers.com/
HD 208487 b,HD 208487 b,34818756,http://www.missionintegers.com/
HD 20868 b,HD 20868 b,34818758,http://www.missionintegers.com/
HD 212301 b,HD 212301 b,34818760,http://www.missionintegers.com/
HD 215152 b,HD 215152 b,34818762,http://www.missionintegers.com/
HD 215152 c,HD 215152 c,34818764,http://www.missionintegers.com/
HD 215456 c,HD 215456 c,34818766,http://www.missionintegers.com/
HD 216435 b,HD 216435 b,34818768,http://www.missionintegers.com/
HD 216437 b,HD 216437 b,34818770,http://www.missionintegers.com/
HD 21693 b,HD 21693 b,34818772,http://www.missionintegers.com/
HD 219828 b,HD 219828 b,34818774,http://www.missionintegers.com/
HD 220773 b,HD 220773 b,34818776,http://www.missionintegers.com/
HD 221287 b,HD 221287 b,34818778,http://www.missionintegers.com/
HD 222582 b,HD 222582 b,34818780,http://www.missionintegers.com/
HD 231701 b,HD 231701 b,34818782,http://www.missionintegers.com/
HD 240237 b,HD 240237 b,34818784,http://www.missionintegers.com/
HD 28678 b,HD 28678 b,34818786,http://www.missionintegers.com/
HD 30562 b,HD 30562 b,34818788,http://www.missionintegers.com/
HD 31253 b,HD 31253 b,34818790,http://www.missionintegers.com/
HD 31527 b,HD 31527 b,34818792,http://www.missionintegers.com/
HD 31527 c,HD 31527 c,34818794,http://www.missionintegers.com/
HD 31527 d,HD 31527 d,34818796,http://www.missionintegers.com/
HD 32518 b,HD 32518 b,34818798,http://www.missionintegers.com/
HD 33142 b,HD 33142 b,34818800,http://www.missionintegers.com/
HD 37124 b,HD 37124 b,34818802,http://www.missionintegers.com/
HD 37124 d,HD 37124 d,34818804,http://www.missionintegers.com/
HD 37605 b,HD 37605 b,34818806,http://www.missionintegers.com/
HD 39194 d,HD 39194 d,34818808,http://www.missionintegers.com/
HD 40307 b,HD 40307 b,34818810,http://www.missionintegers.com/
HD 40307 c,HD 40307 c,34818812,http://www.missionintegers.com/
HD 41004 A b,HD 41004 A b,34818814,http://www.missionintegers.com/
HD 41004 B b,HD 41004 B b,34818816,http://www.missionintegers.com/
HD 4113 b,HD 4113 b,34818818,http://www.missionintegers.com/
HD 4203 b,HD 4203 b,34818820,http://www.missionintegers.com/
HD 4308 b,HD 4308 b,34818822,http://www.missionintegers.com/
HD 44219 b,HD 44219 b,34818824,http://www.missionintegers.com/
HD 45184 b,HD 45184 b,34818826,http://www.missionintegers.com/
HD 45652 b,HD 45652 b,34818828,http://www.missionintegers.com/
HD 47186 c,HD 47186 c,34818830,http://www.missionintegers.com/
HD 51608 c,HD 51608 c,34818832,http://www.missionintegers.com/
HD 62509 b,HD 62509 b,34818834,http://www.missionintegers.com/
HD 63454 b,HD 63454 b,34818836,http://www.missionintegers.com/
HD 6434 b,HD 6434 b,34818838,http://www.missionintegers.com/
HD 65216 b,HD 65216 b,34818840,http://www.missionintegers.com/
HD 66428 b,HD 66428 b,34818842,http://www.missionintegers.com/
HD 69830 b,HD 69830 b,34818844,http://www.missionintegers.com/
HD 69830 c,HD 69830 c,34818846,http://www.missionintegers.com/
HD 69830 d,HD 69830 d,34818848,http://www.missionintegers.com/
HD 72659 b,HD 72659 b,34818850,http://www.missionintegers.com/
HD 73526 b,HD 73526 b,34818852,http://www.missionintegers.com/
HD 73526 c,HD 73526 c,34818854,http://www.missionintegers.com/
HD 73534 b,HD 73534 b,34818856,http://www.missionintegers.com/
42 Dra b,42 Dra b,34818858,http://www.missionintegers.com/
47 Uma c,47 Uma c,34818860,http://www.missionintegers.com/
61 Vir b,61 Vir b,34818862,http://www.missionintegers.com/
BD-082823 c,BD-082823 c,34818864,http://www.missionintegers.com/
CoRoT-13 b,CoRoT-13 b,34818866,http://www.missionintegers.com/
CoRoT-20 b,CoRoT-20 b,34818868,http://www.missionintegers.com/
CoRoT-3 b,CoRoT-3 b,34818870,http://www.missionintegers.com/
DH Tau b,DH Tau b,34818872,http://www.missionintegers.com/
Gliese 649 b,Gliese 649 b,34818874,http://www.missionintegers.com/
Gliese 674 b,Gliese 674 b,34818876,http://www.missionintegers.com/
Gliese 876 c,Gliese 876 c,34818878,http://www.missionintegers.com/
HAT-P-23 b,HAT-P-23 b,34818880,http://www.missionintegers.com/
HAT-P-33 b,HAT-P-33 b,34818882,http://www.missionintegers.com/
HAT-P-34 b,HAT-P-34 b,34818884,http://www.missionintegers.com/
HAT-P-41 b,HAT-P-41 b,34818886,http://www.missionintegers.com/
HAT-P-5 b,HAT-P-5 b,34818888,http://www.missionintegers.com/
HAT-P-7 b,HAT-P-7 b,34818890,http://www.missionintegers.com/
HD 102272 b,HD 102272 b,34818892,http://www.missionintegers.com/
HD 106252 b,HD 106252 b,34818894,http://www.missionintegers.com/
HD 114386 b,HD 114386 b,34818896,http://www.missionintegers.com/
HD 114783 b,HD 114783 b,34818898,http://www.missionintegers.com/
HD 12661 b,HD 12661 b,34818900,http://www.missionintegers.com/
HD 131496 b,HD 131496 b,34818902,http://www.missionintegers.com/
HD 132563B b,HD 132563B b,34818904,http://www.missionintegers.com/
HD 139357 b,HD 139357 b,34818906,http://www.missionintegers.com/
HD 156411 b,HD 156411 b,34818908,http://www.missionintegers.com/
HD 164509 b,HD 164509 b,34818910,http://www.missionintegers.com/
HD 164604 b,HD 164604 b,34818912,http://www.missionintegers.com/
HD 171238 b,HD 171238 b,34818914,http://www.missionintegers.com/
HD 180902 b,HD 180902 b,34818916,http://www.missionintegers.com/
HD 183263 c,HD 183263 c,34818918,http://www.missionintegers.com/
HD 188015 b,HD 188015 b,34818920,http://www.missionintegers.com/
HD 20003 b,HD 20003 b,34818922,http://www.missionintegers.com/
HD 20781 c,HD 20781 c,34818924,http://www.missionintegers.com/
HD 212771 b,HD 212771 b,34818926,http://www.missionintegers.com/
HD 215497 c,HD 215497 c,34818928,http://www.missionintegers.com/
HD 23596 b,HD 23596 b,34818930,http://www.missionintegers.com/
HD 40307 d,HD 40307 d,34818932,http://www.missionintegers.com/
HD 59686 b,HD 59686 b,34818934,http://www.missionintegers.com/
HD 63765 b,HD 63765 b,34818936,http://www.missionintegers.com/
HD 6718 b,HD 6718 b,34818938,http://www.missionintegers.com/
HD 74156 b,HD 74156 b,34818940,http://www.missionintegers.com/
HD 74156 c,HD 74156 c,34818942,http://www.missionintegers.com/
HD 75898 b,HD 75898 b,34818944,http://www.missionintegers.com/
HD 76700 b,HD 76700 b,34818946,http://www.missionintegers.com/
HD 77338 b,HD 77338 b,34818948,http://www.missionintegers.com/
HD 83443 b,HD 83443 b,34818950,http://www.missionintegers.com/
HD 85390 b,HD 85390 b,34818952,http://www.missionintegers.com/
HD 8574 b,HD 8574 b,34818954,http://www.missionintegers.com/
HD 86226 b,HD 86226 b,34818956,http://www.missionintegers.com/
HD 8673 b,HD 8673 b,34818958,http://www.missionintegers.com/
HD 89307 b,HD 89307 b,34818960,http://www.missionintegers.com/
HD 89744 b,HD 89744 b,34818962,http://www.missionintegers.com/
HD 90156 b,HD 90156 b,34818964,http://www.missionintegers.com/
HD 92788 b,HD 92788 b,34818966,http://www.missionintegers.com/
HD 93083 b,HD 93083 b,34818968,http://www.missionintegers.com/
HD 93385 b,HD 93385 b,34818970,http://www.missionintegers.com/
HD 96127 b,HD 96127 b,34818972,http://www.missionintegers.com/
HD 96167 b,HD 96167 b,34818974,http://www.missionintegers.com/
HD 99706 b,HD 99706 b,34818976,http://www.missionintegers.com/
HIP 12961 b,HIP 12961 b,34818978,http://www.missionintegers.com/
HIP 70849 b,HIP 70849 b,34818980,http://www.missionintegers.com/
HIP 75458 b,HIP 75458 b,34818982,http://www.missionintegers.com/
HR 8799 e,HR 8799 e,34818984,http://www.missionintegers.com/
HW Vir (AB) b,HW Vir (AB) b,34818986,http://www.missionintegers.com/
KELT-2A b,KELT-2A b,34818988,http://www.missionintegers.com/
Kepler-11 c,Kepler-11 c,34818990,http://www.missionintegers.com/
Kepler-12 b,Kepler-12 b,34818992,http://www.missionintegers.com/
Kepler-19 b,Kepler-19 b,34818994,http://www.missionintegers.com/
Kepler-20 e,Kepler-20 e,34818996,http://www.missionintegers.com/
Kepler-23 c,Kepler-23 c,34818998,http://www.missionintegers.com/
Kepler-24 c,Kepler-24 c,34819000,http://www.missionintegers.com/
Kepler-26 b,Kepler-26 b,34819002,http://www.missionintegers.com/
Kepler-27 b,Kepler-27 b,34819004,http://www.missionintegers.com/
Kepler-27 c,Kepler-27 c,34819006,http://www.missionintegers.com/
Kepler-28 c,Kepler-28 c,34819008,http://www.missionintegers.com/
Kepler-29 c,Kepler-29 c,34819010,http://www.missionintegers.com/
Kepler-31 b,Kepler-31 b,34819012,http://www.missionintegers.com/
Kepler-32 c,Kepler-32 c,34819014,http://www.missionintegers.com/
Kepler-33 c,Kepler-33 c,34819016,http://www.missionintegers.com/
Kepler-36 c,Kepler-36 c,34819018,http://www.missionintegers.com/
Kepler-4 b,Kepler-4 b,34819020,http://www.missionintegers.com/
Kepler-47(AB) b,Kepler-47(AB) b,34819022,http://www.missionintegers.com/
Kepler-47(AB) c,Kepler-47(AB) c,34819024,http://www.missionintegers.com/
Kepler-5 b,Kepler-5 b,34819026,http://www.missionintegers.com/
Kepler-51 c,Kepler-51 c,34819028,http://www.missionintegers.com/
Kepler-54 c,Kepler-54 c,34819030,http://www.missionintegers.com/
Kepler-55 c,Kepler-55 c,34819032,http://www.missionintegers.com/
Kepler-56 c,Kepler-56 c,34819034,http://www.missionintegers.com/
Kepler-58 b,Kepler-58 b,34819036,http://www.missionintegers.com/
